N;NOM;XL93;YL93;FROM;TO;C10C40_LD;C10C40;OUT;ECH;EP;ALT;LITHO;GEOLE;CLC;Copernic;GEOBAP;COPER_H2;GEOBAP_H2;GEO_COPER_H2;dist_basias;dist_basol;dist_centre;dist_eau;dist_route
1191;P4;571946.23;6279170.11;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;91.58480072;616.6987305;2063.758545;590.5928955;22.36067963
1192;P3;571947.16;6279183.69;0;0.5;<;20;1;E1;0.5;139;6;3;3;7;8;4;4;41;85.53465271;626.3591309;2061.651855;581.8075562;14.14213562
1193;P3;571947.16;6279183.69;0.5;1.5;<;20;1;E1;1;139;6;3;3;7;8;4;4;41;85.53465271;626.3591309;2061.651855;581.8075562;14.14213562
1194;GE05;571949.05;6278801.65;0.5;1.7;<;20;1;E2;1.2;140;6;3;3;7;8;4;4;41;197.2069397;276.7788696;2172.852783;912.3595581;70
1195;GE05;571949.05;6278801.65;1.7;2.8;<;20;1;E3;1.1;140;6;3;3;7;8;4;4;41;197.2069397;276.7788696;2172.852783;912.3595581;70
1196;GE05;571949.05;6278801.65;0;0.5;<;20;9;E1;0.5;140;6;3;3;7;8;4;4;41;197.2069397;276.7788696;2172.852783;912.3595581;70
1197;P2;571960.85;6279149.53;0;0.8;=;20;9;E1;0.8;139;6;3;3;7;8;4;4;41;99.1109314;600.177063;2058.362061;602.0797119;14.14213562
1198;P2;571960.85;6279149.53;0.8;1.6;<;20;1;E2;0.8;139;6;3;3;7;8;4;4;41;99.1109314;600.177063;2058.362061;602.0797119;14.14213562
1199;P1;571966.24;6279168.36;0;0.6;<;20;1;E1;0.6;139;6;3;3;7;8;4;4;41;77.27726746;622.2068481;2044.222046;579.8275757;10
1200;P1;571966.24;6279168.36;0.6;1;<;20;1;E1;0.4;139;6;3;3;7;8;4;4;41;77.27726746;622.2068481;2044.222046;579.8275757;10
1201;GE06;571970.27;6278800.72;0;0.5;=;40;9;E1;0.5;140;6;3;3;7;8;4;4;41;192.3227997;288.8434448;2154.305664;903.3825073;53.85164642
1202;GE06;571970.27;6278800.72;1;2.2;<;20;1;E2;1.2;140;6;3;3;7;8;4;4;41;192.3227997;288.8434448;2154.305664;903.3825073;53.85164642
1203;GE06;571970.27;6278800.72;2.2;3.2;=;35;9;E3;1;140;6;3;3;7;8;4;4;41;192.3227997;288.8434448;2154.305664;903.3825073;53.85164642
1204;GE07;571974.15;6278818.58;0;0.5;<;20;1;E1;0.5;140;6;3;3;7;8;4;4;41;204.9313507;310.7399902;2137.57373;881.0221558;56.56854248
1205;GE07;571974.15;6278818.58;0.5;0.8;<;20;1;E1;0.3;140;6;3;3;7;8;4;4;41;204.9313507;310.7399902;2137.57373;881.0221558;56.56854248
1206;GE07;571974.15;6278818.58;0.8;3.2;<;20;1;E2;2.4;140;6;3;3;7;8;4;4;41;204.9313507;310.7399902;2137.57373;881.0221558;56.56854248
1207;GE10;571975.09;6278836.96;0;0.5;<;20;1;E1;0.5;140;6;3;3;7;8;4;4;41;223.010437;326.7661743;2130.26709;863.1338501;72.11102295
1208;GE10;571975.09;6278836.96;0.5;1;<;20;1;E1;0.5;140;6;3;3;7;8;4;4;41;223.010437;326.7661743;2130.26709;863.1338501;72.11102295
1209;GE10;571975.09;6278836.96;1;2.7;<;20;1;E2;1.7;140;6;3;3;7;8;4;4;41;223.010437;326.7661743;2130.26709;863.1338501;72.11102295
1210;GE11;571976.94;6278856.15;0;0.5;=;20;1;E1;0.5;140;6;3;3;7;8;4;4;41;232.1681671;334.9396057;2126.675049;854.2247925;80.62257385
1211;GE11;571976.94;6278856.15;0.5;1.55;=;30;1;E1;1.05;140;6;3;3;7;8;4;4;41;232.1681671;334.9396057;2126.675049;854.2247925;80.62257385
1212;GE11;571976.94;6278856.15;1.55;3.2;<;20;1;E3;1.65;140;6;3;3;7;8;4;4;41;232.1681671;334.9396057;2126.675049;854.2247925;80.62257385
1213;GE08;571989.28;6278816.94;0;0.5;<;20;9;E1;0.5;140;6;3;3;7;8;4;4;41;200.6710205;316.9721375;2128.28418;876.5842896;50
